ID,OEM,Model,Description,Image,Voltage,Minimum_Battery_Weight,Battery_Connector,Lead_Length,Termination,Length,Width,Height
77895,KALMAR AC,ET30XXAM,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_714/xxam.jpg,24,1565.0,SB-350 Red,18.0,B,38.6,19.6,22.6
77896,KALMAR AC,ET35XXAM,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_714/xxam.jpg,36,1565.0,SB-350 Gray,18.0,B,39.2,20.6,24.0
77897,KALMAR AC,ET35XXAM,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_714/xxam.jpg,24,1565.0,SB-350 Gray,18.0,B,39.2,20.6,24.0
77898,KALMAR AC,NS40B,High-Lift Straddle-Type,http://www.EQGURU.com/images/L/T_714/kalmar_rr.jpg,24,2000.0,SB-350 Red,15.0,C,38.75,16.4,32.0
77899,KALMAR AC,NS40B,High-Lift Straddle-Type,http://www.EQGURU.com/images/L/T_714/kalmar_rr.jpg,36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
77900,KALMAR AC,NS50B,High-Lift Straddle-Type,http://www.EQGURU.com/images/L/T_714/kalmar_rr.jpg,36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
77906,KALMAR AC,NR35B,Narrow Aisle Single Reach,http://www.EQGURU.com/images/L/T_714/kalmar_rr.jpg,36,2075.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
77907,KALMAR AC,NR35B,Narrow Aisle Single Reach,http://www.EQGURU.com/images/L/T_714/kalmar_rr.jpg,24,2000.0,SB-350 Red,15.0,C,38.75,16.4,32.0
77910,KALMAR AC,NR45B,Narrow Aisle Single Reach,http://www.EQGURU.com/images/L/T_714/kalmar_rr.jpg,36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
77911,KALMAR AC,ND30B,Narrow Aisle Double Reach,http://www.EQGURU.com/images/L/T_714/kalmar_rr.jpg,36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
77913,KALMAR AC,OP30EV,Counterbalanced Order Picker,http://www.EQGURU.com/images/L/T_714/orderpic.jpg,24,1100.0,SB-350 Red,12.0,B,38.25,13.88,31.5
77914,KALMAR AC,OP30EV,Counterbalanced Order Picker,http://www.EQGURU.com/images/L/T_714/orderpic.jpg,36,1600.0,SB-350 Gray,12.0,B,38.25,13.88,31.5
77915,KALMAR AC,WF45B,Walkie Low-Lift Pallet,http://www.EQGURU.com/images/,24,492.0,SB-175 Red,12.0,B,28.25,9.0,24.0
